====== Random Dragonborn Names ======

^  Female     ^  Neutral    ^  Male       ^
|  Iril       |  Yinesh     |  Batrin     |
|  Soyreis    |  Yijral     |  Faergax    | 
|  Gurliann   |  Namkus     |  Wunaar     | 
|  Hathyra    |  Aynai      |  Hebarum    |
|  Zofriel    |  Narkare    |  Vordhall   |
|  Jogwen     |  Chakral    |  Shacrath   |
|  Irekeira   |  Shujash    |  Medvull    | 
|  Yrgwen     |  Nathaki    |  Eraqrin    |
|  Ushirina   |  Yithaki    |  Naryax     | 
|  Iriemyse   |  Namkral    |  Sagar      |
|  Karinn     |  Najral     |  Yatrin     |
|  Arimse     |  Suyiru     |  Zorkax     |
|  Sveyla     |  Amkral     |  Nesrakas   |

^  White clan    ^  Red clan       ^
|  Elm'ir        |  Cer'ard        |
|  Lem'ir        |  Orak'ard       |
|  Enduz'ir      |  Inak'ard       | 
|  Eneyt'ir      |  Stam'ard       | 
|  Orz'ir        |  Tane'ard       |
|  Ild'ir        |  Oryak'ard      |
|  Est'ir        |  Rakoosh'ard    |
|  Nalaf'ir      |  Ett'ard        |
|  Torhk'ir      |  Rakh'ard       |
|  Dynt'ir       |  Lorh'ard       |
|  Emayn'ir      |  Rhan'ard       |
|  A'ir          |  Hin'ard        |
|  Aet'ir        |  Den'ard        |
|  Nyat'ir       |  Iss'ard        |





















